no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,mailing_option,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,brands,current_listing_price,len_posts,post_word_count,num_emojis,lemma_posts,topic,probability,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,price
2,4,Giant escape 3 hybrid bike M 700c,288,Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Woodlands South MRT Station (TE3 ),clearstuffss,Joined 1 year ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,11,Giant,288.0,124,22,0,giant escape 3 hybrid bike m 700c 21 speed gear shimano brand   700c hybrid wheel   aluminum frame size m   good shape,-1,0.1524487323394377,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
19,6,Scott Speedster 35 Road Bike,400,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Boon Keng MRT Station (NE9),lobanglisting,Joined 5 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,48,"Scott, Scott",400.0,441,75,4,scott speedster 35 road bike rarely scott contessa speedster road bike sale look reputable brand entry level bike comfortable geometry easily 20 kmh despite alu frame wheel wife bike 5 time   frame aluminium groupset sora 9 speed    wheelset syncros aluminium wheelset   size s suit height 163 170 cm feel free pm keen   sell cheap show,-1,0.13179965013389222,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
22,5,Road Bike frame n fork only.,500,Well used,Meetup,5 days ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Boon Lay Shopping Centre,teamlemond76,Joined 9 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,123,"wilier, wilier",500.0,287,47,0,road bike frame n fork   picture illustration purpose sell wily ' le roi ' race carbon bike frame n fork size l rider 175 178 cm height   rare good carbon era bike frame wily responsive roadbike nice slope geometry read review   ,-1,0.1306369501594963,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
25,10,Trek Emonda S4 Tiagra Full Carbon Road Bike,950,Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Hillview Green Condominium,cuttlefishpi,Joined 6 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,31,"Trek, Trek",950.0,368,65,0,trek emonda s4 tiagra carbon road bike 2017 trek emonda s4 shimano tiagra groupset h2 geometry size 50 rarely bike sell behalf family   gear brake good condition   bartape recently replace   come free flat pedal bottle cage pick paint scratch hang wall feel free request demo,3,0.7621897386654397,trek,madone,bontrager,oclv,bike,slr,size,aeolus,emonda,carbon,Med
5,4,Pedal Mafia PMCC Bib Navy White Size XS,140,Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,Blk 815b Keat Hong QuadLoading Bay,strepsils11,Joined 9 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,66,look,140.0,207,40,0,pedal mafia pmcc bib navy white size xs new lightly bib size xs good condition buy bib jersey look stylo picture post   meet postage free ask meet,-1,0.1413849558786903,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
82,6,Great Deal! Not to be Missed! ORBEA ORCA Carbon Frame with Ultegra Groupset,988,Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Blk 71 Bedok South Road,jae3hech,Joined 3 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,2,"ORBEA, Orbea",988.0,489,85,0,great deal miss orbea orca carbon frame ultegra groupset great condition orbea orca sale   light carbon frame responsive shimano ultegra groupset size 53 fit guy come continental ultra sport 25 mm wheel pasak wheelset sound pasak head turn glide sell bike bike regret sell baby   come test believe include free bike stand,-1,0.1557294386524445,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
28,8,Road bike Triban RC 500 disc size S,550,Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Blk 346 Clementi Ave 5evenings and weekendsClementi MRT Station (EW23),hhhsamurai.1,Joined 5 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,18,Giant,550.0,666,116,0,road bike triban rc 500 disc size s take care rc500 disc upgrade clean regularly commuter paint chip expect come pedal bottle cage suit 165 175 cm rider s m fast deal ask price wire speedo helmet bike pump upgrades 500 km use   ztto hydraulic hybrid brake caliper replace mechanical brake well braking consistency teflon cable new housing cable sleeve cable dirty sgift brake new deca 9 speed chain giant saddle spec sora 9 700c x 28 tyre aluminium frame carbon fork,-1,0.14979700911012836,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
2,6,Cinelli experience,900,Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Sheng Siong Supermarket,juicey03,Joined 7 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,48,"Cinelli, Cinelli",900.0,154,23,0,cinelli experience cinelli experience size 48 ride need service shimano 105 mechanical groupset alloy wheel help friend sell,-1,0.12063634065663123,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
5,1,Giant advanced 0,950,Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Bishan - Ang Mo Kio Park,rjcool,Joined 3 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.8,22,"Giant, Giant",950.0,88,13,0,giant advance 0 giant advance 0 carbon frame tiagra groupset fulcrum wheelset,1,0.6966916130849076,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,Med
115,5,High end Storck Scenario size 56 (L) Aero Bike 8kg with pedal,"1,500 2,000",Like new,Meetup,Yesterday,Road Bikes,Bumped,Used once or twice. As good as new.,N,Y,39A Jalan Pemimpin,mud11,Joined 3 years ago,Mostly Responsive,Verified,1.0,0.0,1.0,5.0,8,Storck,1500.0,1244,212,0,high end storck scenario size 56 l aero bike 8 kg pedal german technology 8 kg fulcrum race nite wheel aluminium 1.75 m -1.85 m trade brompton sell pedal seat ultegra   keep stiff comfortable   fixed price scenero year ago sublime ride sublime – sublimer – scenero balance stiffness right place mean increase cadence instantly reward hyper speed acceleration momentum watt power directly deliver rear wheel push forward fast power course control g2 handle dizzying blend sharpness precision – minimum twitch body light touch bar result point shoot response make feel like hero turn drive   credit awesome stiletto fork – laterally stiff kill vibration chatter road scenero hold line absolute dedication change direction fast small input reckon kind bike fighter pilot nonchalantly lean typhoon,-1,0.14762448736274347,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
18,4,Alllez Sprint Disc Brake Size 54,"1,900",Well used,Mailing,4 days ago,Road Bikes,Bumped,Has minor flaws or defects.,Y,N,,exu45dh5bb,Joined 2 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,17,Allez,1900.0,93,15,0,alllez sprint disc brake size 54 2021 allez sprint   disc brake edition clipless pedal,-1,0.26939779218318083,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
2,10,Upgraded Decathlon Btwin Ultra AF CF UCI Certified,620,Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Yishun MRT Station (NS13)Boon Keng MRT Station (NE9),jayson8628,Joined 7 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,84,"Trek, Look",620.0,650,99,0,upgrade decathlon btwin ultra af cf uci certified uci approved endurance frame size l carbon fork aluminium frame shimano sora r3000 groupset upgrade crankset shimano r7000 105 mavic aksium wheelset axle shimano mechanical disc brake continental grandprix tyre decathlon bottle holder btwin rockrider 900 pedal trek bontrager aeolus elite saddle giveaway clip type pedal look keo classic chain cassette clean regularly servicing month ago smooth pedaling gear shift part new repair need cycle pcn weekend come view test ride satisfied,-1,0.19767090627604744,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
5,4,De Rosa R848 - size 57cm,"2,000 2,500",Well used,Meetup,1 month ago,Road Bikes,Bumped,Has minor flaws or defects.,N,Y,Lakeside MRT Station (EW26),jacobbb.,Joined 7 years ago,Very Responsive,Verified,1.0,1.0,1.0,3.7,3,De Rosa,2000.0,97,19,0,de rosa r848 size 57 cm sell road bike refer photo spec price nego,-1,0.370901687499552,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
8,1,Giant 20” road bike,800,Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Caltex,ayeohg,Joined 8 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,5.0,38,"Giant, Giant",800.0,112,21,0,"giant 20 "" road bike giant 20 "" road bike suit 9 12/13 year old depend height low baller",1,0.3282400507433897,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,Med
17,1,"Rapha (Legion - Limited Edition) / Bianchi (Nalini - Made in Italy) Cycling Caps (not Black Sheep, Specialized, LeCol, PNS, etc.)",45,Brand new,Meetup,2 months ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,N,Y,111 Somerset,woonster23,Joined 2 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,30,"Bianchi, Bianchi, Specialized",45.0,286,47,0,rapha legion limited edition bianchi nalini italy cycling caps black sheep specialized lecol pns etc brand new cycling caps rapha legion limited edition 45 bianchi nalini italy 45 sold thank look contact woon 9323 2388,-1,0.14178164813248234,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
30,8,Specialized tarmac sl4,"1,700",Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Tampines East MRT Station (DT33),roystonng,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,55,Specialized,1700.0,178,34,0,specialized tarmac sl4 tarmac sl4 expert   52   ultegra 6800 11 speed   fsa crank 172.5 mm nextie carbon rim 40 mm stem 90 mm control tech carbon drop bar seat post   gp5000,0,1.0,specialized,bike,mm,carbon,tarmac,shimano,size,saddle,sram,ultegra,High
2,1,Trek SL1200,600,Well used,Mailing,3 days ago,Road Bikes,Posted,Has minor flaws or defects.,Y,N,,kaiiijun,Joined 8 years ago,Mostly Responsive,Verified,1.0,0.0,1.0,5.0,18,"Trek, Trek",600.0,372,61,0,trek sl1200 specification trek sl1200 aluminium frame bontrager carbon fork original bontrager part bontrager crankset seapost stem drop bar wheel tire shimano 105 tiagra groupset selle italia team saddle weight 8.5 9 kg size 54 cm height wheel seat 89 cm   condition 8/10 rfs little tall like pm 90907994,3,1.0,trek,madone,bontrager,oclv,bike,slr,size,aeolus,emonda,carbon,Low
10,1,Canyon Endurace WMN AL 7.0,"1,900 2,000",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Balestier,absolutluxe,Joined 9 years ago,Mostly Responsive,Verified,1.0,0.0,1.0,5.0,20,"Canyon, Canyon",1900.0,662,107,0,canyon endurace wmn al 7.0 great introductory bike transiting road bike durable comfortable buy direct canyon 2021 part original pay 2.8k shipping taxis size s aluminium frame   shimano 105 group set disc brake   dt swiss wheelset include original manual guide tool accessory pedals include switch wax chain generally clean maintain option wax chain swap normal lubricant crash scratch paintjob transportation   look sell clear space negotiable fast deal low baller,4,0.7286178123025995,canyon,cf,bike,ultimate,endurace,aeroad,size,sl,shimano,new,High
16,1,Giant Fastroad Advance 1,"1,900",Lightly used,Meetup,3 hours ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Upper Paya Lebar Road,haha_pe,Joined 8 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,5.0,75,Giant,1900.0,127,23,0,giant fastroad advance 1 buy 6 month size ml 10 time self collect ubi road 1 price negotiable,1,0.31862526273974,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,High
22,5,Cipollini Logos,800,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Performancebikefitter,performancebikefitter,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,20,Cipollini,800.0,217,38,0,cipollini logos selling frame fork crash   normal chip italy bb386evo integrate seatpost lightweight stiffness rim brake size s tube 52 cm bb saddle clamp 65 cm,-1,0.2763393031039967,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
3,1,Giant OCR 5300 bicycle,450,Lightly used,Meetup,6 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Lakeside MRT Station (EW26)Jurong West Street 41,huaxuan,Joined 9 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,6,Giant,450.0,280,53,0,giant ocr 5300 bicycle s size 163 cm 180 cm road bike spare bicycle buy year ago sell barely time cycle day cycle approximately 10 time condition pretty good pm photo pick location thank,-1,0.31760224106376894,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
25,10,"Authentic New SYN Jersey, bottle and Cap! (Metal Blue)",40,Like new,Meetup,2 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,Blk 502B Yishun Street 51,bikebiker,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,477,"giant, specialized",40.0,915,140,0,authentic new syn jersey bottle cap metal blue sell new syn biehler jersey metal blue color set syn cap syn bottle 40 discount buy biehler online 180 size m jersey come packaging tag wear twice stain fray   condition 9.5/10 pm keen come serve   tag   maap cycle jersey cycling jersey pns rapha rcc pedla pedal pedal mafia pmcc black sheep assos cyclist mess q36.5 fst monton mysenlan grc givelo lapassione cuore   castelli giant dhb santini santic northwave cycle bib cycle short bib tight bib short morvelo specialized biehelder sportsfull redwhite bib pearl izumi shimano bib cycling bib short castelli siroko decathlon bib mechanism solitude pas pns pas normal studio rapha team legion rapha legion rapha kit syn syndicate jersey biehler jersey,-1,0.1427944333904931,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
26,8,"Giant Contend 3 Road Bike Bicycle (M Size, 171-181cm)",750,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Pasir Ris East Community Club,brytan555,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,4.9,137,Giant,750.0,54,9,0,giant contend 3 road bike bicycle m size 171 181 cm,-1,0.2425715439450892,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
14,6,Giant Talon 29er,470 480,Like new,Meetup,2 days ago,Road Bikes,Bumped,Used once or twice. As good as new.,N,Y,BLK 290C BUKIT BATOK ST 24Keming Primary SchoolSee 1+ locations,re_ta,Joined 7 months ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,1,"Giant, Giant",470.0,146,26,0,giant talon 29er giant talon l frame size free helmet bike bag excellent rear light good new appreciate barely,1,0.25816727179463345,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,Low
3,1,Road Bike,"1,800",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Clementi MRT Station (EW23),ds_p123,Joined 2 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,4,Giant,1800.0,98,17,0,road bike giant tcr advanced pro 2018 r8000 set ultegra slr1 carbon wheelset road bike,1,0.7898470637936279,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,High
102,6,Java sava trinx giant merida road bike shimano racing bike siluro 3 Ronda fuoco vesuvio veloce,430,Brand new,Mailing,3 weeks ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,Y,N,,gcycle,Joined 5 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.9,65,"giant, Giant, merida, Merida",430.0,479,75,0,java sava trinx giant merida road bike shimano race bike siluro 3 ronda fuoco vesuvio veloce price start 430-$2200 road bike   wide range bicycle accessory   foldable bike road bike hybrid bike mountain bike brand dahon fnhon crius rifle java sava hito giant merida trinx raleigh   viewing test ride self collection available   free delivery shop gcycle contact number 8875 8715   address kapo factory building block 03 03 367998,-1,0.03676610696387535,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
4,4,De Rosa vintage steel road bike,"1,850",Well used,Meetup,2 days ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Bus Stop 58129 (Blk 508 CP)Blk 508 MSCP (No. SWSB29)See 1+ locations,xiuting88,Joined 3 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.8,33,De Rosa,1850.0,106,17,0,de rosa vintage steel road bike shimano 600 groupset 7 speed size:54 effective tube length:54 cm,-1,0.2796838963237167,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
23,2,Scott CR1 Team Carbon Bike,600,Well used,Meetup,2 days ago,Road Bikes,Bumped,Has minor flaws or defects.,N,Y,Commonwealth MRT Station (EW20),commonwealth.habitats,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,8,Scott,600.0,166,26,0,scott cr1 team carbon bike frame size 54 medium groupset shimano 105 weight 8 kg wheel fulcrum racing 7 tyre continental grandprix-4 season need new chain,-1,0.1741582261737047,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
17,4,Cervelo R5 (2011) Size 58cm,"1,000",Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Binchang Rise,prk122,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,9,Cervelo,1000.0,294,48,0,cervelo r5 2011 size 58 cm   cervello r5 carbon road bike   light weight stiff fast   minor mark frame good condition   component great condition usable include sram carbon crank ultegra component mavic cosmic wheel fizik seat,-1,0.25965236482945575,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
18,7,Trek MT220,100,Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,The Marbella博多もつ鍋 悟喰 Japanese Restaurant Goku,liulinyi,Joined 8 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,4.8,16,Trek,100.0,67,10,0,trek mt220 famous brand maintain regularly,3,0.7576541042433879,trek,madone,bontrager,oclv,bike,slr,size,aeolus,emonda,carbon,Low
18,6,Basso Road Bike,550,Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Our Tampines Hub,zaikikz,Joined 1 year ago,Very Responsive,Verified,1.0,0.0,1.0,4.9,10,Basso,550.0,98,17,0,basso road bike -ref photo information good condtion available view,-1,0.18613001476124286,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
9,3,Specialised Cycle satin flake silver / black,"1,000",Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,Simei MRT Station (EW3),rajesh0304,Joined 5 years ago,Not Responsive,Verified,1.0,1.0,1.0,0.0,0,Specialised,1000.0,127,24,0,specialised cycle satin flake silver black size 56 color satin flake silver/ black 4 5 time usual price 1500,-1,0.28051252204983995,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
1,1,Boardman for sale,"1,500",Well used,Meetup,1 week ago,Road Bikes,Bumped,Has minor flaws or defects.,N,Y,Pasir Ris Bus Interchange,dol_asmara,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,21,Boardman,1500.0,71,11,0,boardman sale item   part upgraded.price nego view,0,0.3667594610375732,specialized,bike,mm,carbon,tarmac,shimano,size,saddle,sram,ultegra,High
